,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4692,"Jacinto City, TX",-95.2537609,10553.0,12.8472818594,29.758877,18.8295212332,1,9.47597839477e-05,9.47597839477e-05,3.58431051381,4.33929962473,0.00973446372163,0.0455905348589,2.55313226051,2.9354259166,-9.26416545867
4693,"Storm Lake, IA",-95.2097179,10600.0,58.3172851556,42.6410915,100.093447623,1,9.43396226415e-05,9.43396226415e-05,7.63657548615,10.0046712901,0.00971285862357,0.0455230527857,4.06589853579,4.60610422587,-9.2686092801
4694,"Northport, AL",-87.5772293,21382.5,3.31251500354,33.229007,85.1715680919,2,9.43168293401e-05,9.35344323629e-05,1.8200315941,9.228844353,0.00971168519569,0.0455193862307,1.19770772067,4.4446676703,-9.26885091829
4695,"Jefferson Hills, PA",-79.9354714649,10619.0,7.00648159112,40.2915175,17.3670578992,1,9.41708258781e-05,9.41708258781e-05,2.64697593323,4.16738022014,0.00970416538803,0.0454958859345,1.94683566222,2.85457518762,-9.2704001284
4696,"Leawood, KS",-94.6169012,31867.0,13.5889043449,38.966673,18.8146373609,3,9.41412746729e-05,9.41412746729e-05,3.68631310999,4.33758427709,0.00970264266439,0.0454911265025,2.60925360276,2.93463514992,-9.2707139819
4697,"Brownsburg, IN",-86.3977736,21285.0,16.5679744932,39.8433769,66.2518552884,2,9.39628846606e-05,9.39628846606e-05,4.07037768434,8.13952426671,0.00969344544837,0.0454623743464,2.80747158457,4.19346346883,-9.2726106977
4698,"Summit, NJ",-74.3592296,21294.0,0.224566670739,40.7182356,30.2661232592,2,9.39286745988e-05,9.39231708462e-05,0.473884659742,5.50146555558,0.0096916806901,0.0454568563542,-1.49358264155,3.41002904279,-9.27297484458
4699,"Woodbury, NY",-74.1059775,10686.0,15.5181871861,41.3645382,6.1975196394,1,9.35803855512e-05,9.35803855512e-05,3.93931303479,2.48948180138,0.00967369554778,0.0454006018459,2.74201270291,1.82414915385,-9.27668975252
4700,"Arkadelphia, AR",-93.053784,10714.0,39.8951759905,34.1209292,39.8081816709,1,9.33358222886e-05,9.33358222886e-05,6.31626281835,6.30937252593,0.00966104664561,0.045361017319,3.68625541409,3.68407246078,-9.27930657644
4701,"Lyons, IL",-87.8232695,10729.0,6.50445174638,41.811108,55.4268302459,1,9.3205331345e-05,9.3205331345e-05,2.55038266666,7.44491976088,0.00965429082558,0.0453398680165,1.87248682653,4.01506377699,-9.28070563464
4702,"Hackensack, NJ",-74.0434736,42926.75,4.2431771782,40.8859326,30.8216038598,4,9.31830457512e-05,9.31819902508e-05,2.05989737079,5.55172080168,0.00965313657581,0.0453362541087,1.44531232311,3.42821586812,-9.28094476536
